Heading,Description,Date_Source
SII stopped Covishield production last year; says Poonawalla; claims 100 mn doses expired,SII Chief Executive Officer Adar Poonawalla said booster vaccines have no demand as there is general lethargy among people and also because they are fed up with the pandemic.,"India TV News Desk | October 21, 2022 7:30 IST"
TET qualified students detained in Bengal amid demands for direct recruitment,"TET students accused the state government of corruption. The protesting candidates had qualified for the Teacher's Eligibility Test eight years ago, however, they could not clear the two sets of interviews they appeared for.","India TV News Desk | October 21, 2022 7:20 IST"
"Breaking News, October 21 | LIVE UPDATES","IndiaTV News provides you all the breaking news, latest news, breaking story videos, Live TV on a single platform to ensure you don't miss the biggest happenings in India and the world.","India TV News Desk | October 21, 2022 6:39 IST"
PM Modi at Badrinath: Colonial mindset led to dilapidated condition of ancient temples,"Modi Kedarnath-Badrinath visit: Prime Minister Narendra Modi will review the progress of several development projects in the region, including Mandakini Asthapath and Saraswati Asthapath there.","India TV News Desk | October 21, 2022 17:52 IST"
"Aaj Ki Baat: Full episode, October 20, 2022","Hello and welcome to Aaj Ki Baat With Rajat Sharma, the only news show with real facts and no noise.","India TV News Desk | October 20, 2022 23:32 IST"
"Ghaziabad Police says rape story 'false', woman's allegation ploy to grab property","Ghaziabad rape case false: The woman claimed that she was raped by five men for two days. Following the incident, the Delhi Commission for Women chief Swati Maliwal also claimed that the 36-year-old woman was found wrapped in a jute bag.","India TV News Desk | October 21, 2022 6:11 IST"
Politician Shrikant Tyagi released on bail from Noida jail,"Shrikant Tiyagi released: The community members had held panchayats to mobilise support for Tyagi and staged a protest outside the society here after his arrest in August, demanding his release and revocation of the Gangsters Act in the case.","India TV News Desk | October 21, 2022 6:10 IST"
"Google fined Rs 1,337 crore by CCI for abusing dominant position in Android ecosystem","CCI fines Google: In a release, the Competition Commission of India (CCI) said it has also directed Google to modify its conduct within a defined timeline.","India TV News Desk | October 21, 2022 17:58 IST"
Liz Truss: UK's third female PM leaves office without India trade deal prize,"Liz Truss quit: :Liz Truss insisted in Parliament that she was a ""fighter and not a quitter"", resigned after just six weeks after her position became untenable after a series of policy U-turns, Cabinet upheavals and an open revolt against her ability to lead a deeply divided Conservative party","India TV News Desk | October 20, 2022 20:17 IST"
Top Punjab businessman Joginder Bedi joins AAP in presence of party's state incharge Jarnail Singh,"It is a great honour for me to get a place in AAP which has safeguarded the democratic fabric of the nation, Bedi said.","India TV News Desk | October 20, 2022 19:46 IST"
"ICC poll: Mamata Banerjee throws weight behind Ganguly, terms it 'shameless political vendetta'","ICC poll: Mamata Banerjee, who said she would have spoken out on the issue even if master cricketers like Sachin Tendulkar or Mohammad Azharuddin were similarly deprived, alleged that Ganguly was robbed of the chance to fight the election to ""secure someone else's interests"".","India TV News Desk | October 20, 2022 23:35 IST"
Assam government withdraws AFSPA from West Karbi Anglong; to continue in these 8 districts,Armed Forces Special Powers Act (AFSPA) has been facing criticism as several human rights activists demand the law to be scrapped.,"India TV News Desk | October 20, 2022 18:16 IST"
"'Will make Delhi garbage-free if BJP wins MCD polls,' says Amit Shah, promises 100% waste treatment","Amit Shah on municipal polls: Union Home Minister Amit Shah added that the Arvind Kejriwal-led party wanted Delhi to be 'AAP Nirbhar' while BJP wanted the national capital to be Atmanirbhar, and asked the people to choose between the two in the MCD elections.","India TV News Desk | October 20, 2022 18:03 IST"
OPINION | What did Modi do for education in Gujarat?,"Modi got these children admitted to schools, way back in 2003. Aam Aadmi Party was formed in 2013, ten years later. Kejriwal alleges that Modi copied his idea about better schooling. Sisodia claims that Modi went to a government school for the first time on Wednesday.","India TV News Desk | October 20, 2022 17:56 IST"
"Gaming app case: ED raids Kolkata businessman, seizes Rs 1.65cr; Bitcoin worth Rs 7.12 cr frozen","Gaming app case: The commission also recovered incriminating documents under PMLA. The ED raids were in connection to the mobile gaming app ""E-nuggets"".","India TV News Desk | October 20, 2022 17:34 IST"
"Punjab: Farmers’ protest outside CM residence in Sangrur, demanding compensation for damaged crops",Farmers Protest in Sangrur: The agitation entered its 11th day as protesting farmers are still waiting for their demands to be accepted by the Punjab government.,"India TV News Desk | October 20, 2022 17:43 IST"
"'Let us breathe clean air, spend your money on sweets': SC refuses to lift ban on firecracker","Delhi firecracker ban: Delhi government has banned the bursting of firecrackers on Diwali. In a press conference, Environment Minister Gopal Rai informed bursting of crackers can attract a jail term of up to six months and a fine of Rs 200.","India TV News Desk | October 20, 2022 18:34 IST"
Mistry goes ballistic on Tharoor's Congress prez poll irregularity charge: 'You had one face...',Tharoor Vs Mistry: It seems that all is not well in Congress post party election for president post in which Mallikarajun Kharge defeated Shashi Tharoor as poll in-charge Mistry slammed the second contender for raising irregularities in the counting of votes.,"India TV News Desk | October 20, 2022 16:41 IST"
"Mallikarjun Kharge as AICC chief - With challenges galore, road ahead might not be easy",Mallikarjun Kharge as AICC chief: There is hardly any time for the new chief to celebrate as he steers the 'grand old party' through the many challenges on the road to the 2024 general elections.,"India TV News Desk | October 20, 2022 16:37 IST"
JKLF chief Yasin Malik appears in special court in Rubaiya Sayeed kidnapping case,"JKLF chief Yasin Malik is one of accused in Rubaiya Sayeed kidnapping case. She was abducted from near Lal Ded Hospital on December 8, 1989.","India TV News Desk | October 20, 2022 15:25 IST"
"Noida Airport: CM Yogi's emotional appeal, compensation hike propel turbulence-hit land acquisition","Noida Airport, the mega aviation project of the UP government appeared to have hit turbulence earlier this year when a section of farmers from the six villages denied consent to give up their land.","India TV News Desk | October 20, 2022 14:25 IST"
Air pollution: Delhi High Court rejects plea against absolute 'firecracker ban' on Diwali,"Delhi air pollution: The court, however, said the petitioners were free to initiate appropriate proceedings under the law to seek redressal of their grievances.","India TV News Desk | October 20, 2022 14:16 IST"
Possible cyclone likely to reach West Bengal-Bangladesh coast by Oct 25: IMD,"A low-pressure area has been formed in the Bay of Bengal on Thursday and it is likely to intensify into a cyclonic storm over the next four days, the IMD said.","India TV News Desk | October 20, 2022 14:15 IST"
Himachal Pradesh Assembly Election 2022: BJP releases second list of candidates,Himachal Pradesh Assembly Election 2022: BJP releases second candidates list with 6 names,"India TV News Desk | October 20, 2022 14:12 IST"
Delhi: No fine for not wearing mask in public places as govt withdraws order,The DDMA had decided that compulsory wearing of masks under the Epidemic Act may not be extended beyond September 30,"India TV News Desk | October 20, 2022 15:37 IST"
"Congress rigged its presidential polls to make Kharge win, remote control him: BJP",Congress' entire presidential poll process was questioned by the Bharatiya Janata Party. Its BJP IT cell media national head Amit Malviya accused the party of deliberately making Kharge win the polls.,"India TV News Desk | October 20, 2022 13:32 IST"
"PM Modi, UN chief Antonio Guterres launch ‘Mission Life’? What’s the mission all about?","Mission Life Launched: While addressing the event, Prime Minister Narendra Modi asserted we have to work with the mantra- 'the people who protect the nature, gets protection from the nature'","India TV News Desk | October 20, 2022 13:39 IST"
"Madhya Pradesh: 4 killed, several injured as blast rips apart house storing firecrackers","Morena Blast: At least one child who was buried under debris has been rescued, District Magistrate B Karthikeyan said.","India TV News Desk | October 20, 2022 18:30 IST"
"UP to soon begin teaching engineering, medical courses in Hindi",UP Chief Minister Yogi Adityanath took to Twitter and said some books of medical and engineering courses have been translated into Hindi.,"India TV News Desk | October 20, 2022 13:00 IST"
"Delhi Pollution: Ban on coal, firewood in restaurants, DG sets as GRAP 2 kicks in - EXPLAINED","Delhi pollution: With the weather department warning of Delhi's Air Quality Index (AQI) dipping further in the coming days thanks to stubble burning in neighbouring states of Punjab and Haryana, authorities have decided to implement GRAP Stage 2 in the NCR.","India TV News Desk | October 20, 2022 13:03 IST"
Indian Railways cancels 175 trains today; check your train status here,"Railways Services during the festival: A few days ago, Railways authorities, giving festival bonanza to passengers, upgraded the speed of 500 mail express trains and converted 130 services (65 pairs) to the Superfast category in the new All India Railway Timetable.","India TV News Desk | October 20, 2022 12:32 IST"
Beware | Cumin in your kitchen maybe grass; Delhi Police busts fake spice factory ahead of festivals,"During the festival season, cases of adulterated food items increase which cause a health hazard. To check the illegal activities, police every year during this period launch massive raids across Delhi-NCR.","India TV News Desk | October 20, 2022 11:37 IST"
Punjab DSP posted with Special Operations Group in Patiala dies of bullet injuries at his home,Neighbors of Gagandeep Bhullar heard the sound of a bullet firing from his home and he was found in a pool of blood.,"India TV News Desk | October 20, 2022 10:42 IST"
"COVID-19: India reports 2,141 fresh cases in last 24 hours, active cases come down to 25,510","Covid-19: The total active cases in India have decreased to 25,510, the health ministry data showed on Thursday.","India TV News Desk | October 20, 2022 10:14 IST"
"UP: No leaves for doctors, paramedical staff at govt hospitals amid spike in dengue cases",UP: The order by the Director General (DG) of medical health office was issued in view of dengue outbreak and the upcoming festive season.,"India TV News Desk | October 20, 2022 10:29 IST"
PM Modi launches 'Mission LiFE' in Gujarat's Kevadia,PM Modi Gujarat visit Day 2: Mission LiFE aims at following a three-pronged strategy for changing people's collective approach towards sustainability.,"India TV News Desk | October 20, 2022 13:30 IST"
"Maharashtra ATS arrests four PFI activists in Panvel, probe underway","PFI news: After questioning, all four were placed under arrest in a case registered at the Kalachowki unit of the ATS in Mumbai under section 10 of the stringent Unlawful Activities (Prevention) Act, the official said.","India TV News Desk | October 20, 2022 12:23 IST"
"Sidhu Moose Wala murder: Accused Deepak Tinu, who escaped custody, nabbed by Delhi Police","Sidhu Moose Wala murder: ""Five grenades and two automatic pistols have been recovered from his possession. He is being brought to the national capital and his police custody remand will be sought,"" police said.","India TV News Desk | October 20, 2022 8:31 IST"
PM Modi likely to visit Ram temple construction site in Ayodhya,"PM Modi Ayodhya visit: The Prime Minister will reach Ayodhya on October 23. He will perform pooja and Darshan of Bhagwan Shri Ramlala Virajman. Prime Minister will also witness the spectacular aarti at New Ghat of Saryuji, followed by his participation in the grand Deepotsav celebrations.","India TV News Desk | October 20, 2022 7:30 IST"
Bengaluru: Wall collapses after heavy rains pound city; yellow alert for next five days,"Bengaluru: With the yellow alert, the maximum temperature is expected to range from 27-29 degrees Celcius and the minimum is likely between 15-17 degrees Celcius, the weather department said.","India TV News Desk | October 20, 2022 11:06 IST"
"Mumbai: Security stepped up at Andheri, Juhu after police receives bomb threat call","Mumbai: The unidentified caller told police that bombs have been planted at Infinity Mall Andheri, PVR Mall Juhu and at Sahara Hotel Airport.","India TV News Desk | October 20, 2022 7:18 IST"
"Breaking News, October 20 | LIVE UPDATES","IndiaTV News provides you all the breaking news, latest news, breaking story videos, Live TV on a single platform to ensure you don't miss the biggest happenings in India and the world.","India TV News Desk | October 20, 2022 6:54 IST"
"Aaj Ki Baat: Full episode, October 19, 2022","Hello and welcome to Aaj Ki Baat With Rajat Sharma, the only news show with real facts and no noise.","India TV News Desk | October 19, 2022 23:50 IST"
'No party worker big or small': Congress president-elect Kharge; Tharoor says 'revival has begun',"Congress President election result: A Dalit from Karnataka, 80-year-old Kharge trounced his 66-year-old rival, Shashi Tharoor, in a historic election seeking to steer the beleaguered party out of its current crisis. He bagged over 84 percent of the votes in the presidential election.","India TV News Desk | October 19, 2022 23:26 IST"
'Deteriorating security situation': MEA advises Indians against travelling to Ukraine,"Russia-Ukraine war: Last Monday, the Ministry of External Affairs (MEA) had issued another advisory to the Indian nationals residing in Ukraine to avoid non-essential travel in view of the escalating situation in the country.","India TV News Desk | October 19, 2022 21:47 IST"
Maharashtra reports 18 cases of XBB sub-variant of Omicron in 15 days,"Maharashtra reports XBB sub-variant of Omicron: As per the primary information, all these cases are mild. It said 15 out of these 20 cases (18 of XBB and one each of BQ.1 and BA.2.3.20) were vaccinated against COVID-19 while information on the rest five cases is to be received.","India TV News Desk | October 19, 2022 20:50 IST"
"'Very poor' AQI by Saturday; govt bans coal, firewood in Delhi-NCR eateries","Delhi-NCR Poor AQI: The use of diesel generators, except for essential services, is also banned under stage two of the Graded Response Action Plan (GRAP) which is a set of anti-air pollution measures followed in the capital and its vicinity according to the severity of the situation.","India TV News Desk | October 19, 2022 20:14 IST"
"'Very poor' AQI by Saturday; govt bans coal, firewood in Delhi-NCR eateries","Delhi-NCR Poor AQI: The use of diesel generators, except for essential services, is also banned under stage two of the Graded Response Action Plan (GRAP) which is a set of anti-air pollution measures followed in the capital and its vicinity according to the severity of the situation.","India TV News Desk | October 19, 2022 20:14 IST"
Is Nitish Kumar planning to take another U-turn? Political strategist Prashant Kishor's big claim,"Political strategist Prashant Kishor gave a spin to Bihar politics by claiming that Nitish Kumar, popular for taking U-turns, is in touch with BJP and he may join NDA again.","India TV News Desk | October 19, 2022 18:36 IST"
Mehbooba Mufti demands probe into militant's death in Shopian,J&K militant's death: Imran Bashir Ganai was arrested for his alleged involvement in the killing of two labourers at Harmain in Shopian district in the early hours of Tuesday.,"India TV News Desk | October 19, 2022 17:42 IST"
OPINION | War against drugs In Punjab: Punjabis will have to fight it themselves,"Every day, we read news about somebody or the other dying of drugs. On Tuesday, there were three such stories. In Taran Taran district, two youths, one aged 18 and the other aged 26 years died due to drugs. In Amritsar, two brothers of a family died due to drugs.","India TV News Desk | October 19, 2022 16:49 IST"
What is Interpol and what is Red Corner notice - EXPLAINED,"Red Corner notice: As nearly 778 Red Notices issued by India are active, of which 205 are by the CBI against fugitives like Dawood Ibrahim, his aide Chhota Shakeel, terrorist Masood Azhar, Hafiz Saeed, and economic offenders like Nirav Modi, Mehul Choksi among others.","India TV News Desk | October 19, 2022 17:03 IST"
Vaishali Thakkar's suicide: Lookout circular issued against couple accused in actor's death case,"Vaishali Thakkar, known for her role in serials like 'Sasural Simar Ka', was found hanging from a ceiling fan with a stole in her house in Saibag Colony of Indore on Sunday, police earlier said.","India TV News Desk | October 19, 2022 16:41 IST"
What will be Rahul's role under newly elected Congress president Mallikarjun Kharge? Watch his reply,Congress president election: It would be interesting to see how Gandhi family works under new party chief Mallikarjun Kharge. It is also to be seen what reform Kharge brings to the table.,"India TV News Desk | October 19, 2022 17:23 IST"
Pakistani toddler undergoes bone marrow transplant in Bengaluru,"Pakistan child bone marrow transplant: The daughter of cricket commentator, Sikandar Bakht, hailing from Karachi, the child was recently cured from Mucopolysaccharidosis type 1 (MPS I) with the help of a BMT at Narayana Health.","India TV News Desk | October 19, 2022 16:28 IST"
China blocks US-India efforts in designating global terrorists. Beijing has done this before too,"China has, for the fourth time, put a hold on a proposal moved at the United Nations by India and co-supported by the US to list Pakistan-based Lashkar-e-Taiba member Shahid Mahmood as a 'global terrorist.'","India TV News Desk | October 19, 2022 15:54 IST"
"Delhi govt bans bursting of firecrackers, imposes jail term up to six months for violation of rules","Delhi firecracker ban: In September, the city government re-imposed a complete ban on the production, sale and use of all types of firecrackers till January 1, including on Diwali, a practice it has been following for the last two years.","India TV News Desk | October 19, 2022 15:44 IST"
Mallikarjun Kharge: A non-Gandhi is Congress president after 24yrs - What does it mean for party,"It would be interesting, whether he will bring about reforms that the party needs for a long time.","India TV News Desk | October 19, 2022 16:00 IST"
"Mallikarjun Kharge - A hard-boiled Congressman, Gandhi family loyalist becomes party chief","Mallikarjun Kharge, a leader with more than 50 years of experience in politics, is also the second AICC President from Karnataka after S Nijalingappa. He is also the second Dalit leader after Jagjivan Ram to hold the post.","India TV News Desk | October 19, 2022 14:32 IST"
Assam's Kamakhya Temple not being 'properly maintained': Supreme Court,"Kamakhya Temple news: Senior advocate Rajeev Dhavan, appearing for the temple, submitted that this is a case where certain people wrote letters saying hygiene is not being taken care of.","India TV News Desk | October 19, 2022 14:06 IST"
Tharoor congratulates Kharge after losing Congress president polls. Here's what he said,"Congress president election: Kharge, who is known to be close to Gandhis, won the Congress presidential elections with 7897 votes, Shashi Tharoor got about 1000 votes; 416 votes were rejected.","India TV News Desk | October 19, 2022 17:18 IST"
Congress president election: Rahul Gandhi reacts to Tharoor's 'irregularities' allegations,"Congress president election: Shashi Tharoor's team flagged ""extremely serious irregularities"" in the conduct of the election in Uttar Pradesh and demanded that all votes from the state be deemed invalid.","India TV News Desk | October 19, 2022 13:52 IST"
Gujarat: When PM Modi attended a class as he launched Mission Schools of Excellence | Video,"Rajasthan Chief Minister Ashok Gehlot takes a dig at Prime Minister Narendra Modi over his frequent visits to Gujarat ahead of state Assembly elections, saying he should open PMO office there.","India TV News Desk | October 19, 2022 15:09 IST"
Delhi High Court to hear pleas challenging 'Agnipath scheme' on November 18,Agnipath scheme news: The High Court today was informed by Solicitor General Tushar Mehta that the Centre has filed a consolidated reply copy in the matters recently.,"India TV News Desk | October 19, 2022 13:30 IST"
Karnataka weather update: Heavy rains to lash parts of state for next five days; yellow alert issued,"Karnataka weather update: Chamarajanagara, Chikkamagaluru, Hassan, Kodagu, Bengaluru Rural, Chitradurga, Hassan, Shivamogga, Tumakuru and Mandya districts will receive heavy rain on Wednesday, the IMD said.","India TV News Desk | October 19, 2022 13:10 IST"
Lumpy skin disease: No cattle fest at Pushkar fair 2022,Lumpy skin disease: Cattle trading remains a key highlight of the colourful and vibrant fair which is held annually in the holy month of Kartik in Pushkar town.,"India TV News Desk | October 19, 2022 12:51 IST"
Bihar: Exam paper frames Kashmir as separate country; sparks row,"Bihar: Class 7 students were asked about the nationality of people belonging to different countries. ""What are the people of the following countries called ? One is done for you,"" the question paper read.","India TV News Desk | October 19, 2022 12:40 IST"
"Ghaziabad gangrape: NCW takes cognisance, issues notice to police seeking details of FIR","Ghaziabad gangrape: A 38-year-old woman recently, with the panel chief saying the attack reminded her of the Nirbhaya case. The woman, a resident of Delhi, was found ""wrapped in a jute bag, with her hands and legs tied and an iron rod inserted in her private part,"" the DCW said.","India TV News Desk | October 19, 2022 12:50 IST"
Odisha: Doctor held for duping daughter of patient on marriage promise,Mahila Police of the Bhubaneswar-Cuttack Commissionerate arrested the accused who is a postgraduate student at the All Indian Institute of Medical Sciences (AIIMS).,"India TV News Desk | October 19, 2022 12:17 IST"
"Jammu and Kashmir: IED detected, defused in Kupwara district","Kupwara news: A joint team of Indian Army and police detected the IED planted by terrorists along the road at Udipora in Handwara area of the district, the officials said.","India TV News Desk | October 19, 2022 13:38 IST"
BJP MP announces plans to build auditorium in Mulayam Singh's memory,"Interestingly, the announcement came from Samajwadi Party’s arch-rival BJP’s MP. Saffron Party lawmaker Virendra Singh Mast sanctioned Rs 25 lakh from his local area development funds to build the proposed auditorium on the premises of the District Civil Court, Ballia.","India TV News Desk | October 19, 2022 11:56 IST"
"Delhi's air quality remains 'poor' with AQI at 241, over 50L vehicles de-registered till October 17","Delhi air quality: According to the data, 53,38,045 vehicles have been de-registered between 2018 and 2022, with 50,25,447 vehicles being deregistered till October 17 this year.","India TV News Desk | October 19, 2022 11:36 IST"
"AIADMK leaders, including EPS detained during hunger strike to protest eviction from TN Assembly",AIADMK leader EPS and MLAs of his camp created a ruckus over sitting arrangement in Tamil Nadu Assembly which resulted in their eviction from the House.,"India TV News Desk | October 19, 2022 11:25 IST"
Fighting terrorism must be global priority for every country: UN Secretary General Guterres,"Coincidentally, on the day, UN Secretary General Guterres paid tribute to victims of 26/11 Mumbai terror attacks, China has put a hold on a proposal by India and the US at the United Nations to list Pakistan-based Lashkar-e-Taiba leader Shahid Mahmood as a global terrorist.","India TV News Desk | October 19, 2022 11:29 IST"
"New Delhi-Una Vande Bharat Express makes inaugural run. Here's ticket fare, train schedule",Vande Bharat Express -- train number 22447 departed from New Delhi railway station at 5:50 am. Loco pilot Mahendra Kumar Meena said it will take 4 hours 46 minutes to reach Una.,"India TV News Desk | October 19, 2022 10:36 IST"
"COVID-19: India reports over 1,900 fresh cases in last 24 hours, active cases come down to 25,968","Covid-19: The total active cases in India have decreased to 25,968, the health ministry data showed on Wednesday.","India TV News Desk | October 19, 2022 10:07 IST"
"""Open a PMO in Gujarat..."" Ashok Gehlot takes a dig at PM Modi's frequent visits in poll-bound state","Ashok Gehlot on PM Modi Gujarat visit: On October 19, PM Modi will participate in five different events. He will inaugurate the DefExpo22 at Mahatma Mandir, Gandhinagar.","India TV News Desk | October 19, 2022 9:48 IST"
Delhi civic polls expected soon as Centre concludes delimitation of MCD wards,"Delhi civic polls: According to civic body officials, following the gazette notification, the delimitation exercise should be understood to be completed.","India TV News Desk | October 19, 2022 10:40 IST"
All new national highways to have helipads: Aviation Minister Scindia,"Helipads on the national highways will help in immediate evacuations during emergencies, Jyotiraditya Scindia noted during the Civil Aviation Ministers' Conference in Delhi.","India TV News Desk | October 19, 2022 10:39 IST"
J&K: LeT 'hybrid terrorist' involved in labourers' killing neutralised in anti-terror operation,Jammu and Kashmir news: Hybrid terrorists are unlisted radicalised people who carry out terror strikes and slip back into their routine lives often without leaving any trace.,"India TV News Desk | October 19, 2022 7:36 IST"
Modi Gujarat visit: PM inaugurates DefExpo; to launch development projects in poll-bound state today,"PM Modi Gujarat visit: This year's DefExpo is the first-ever edition exclusively for Indian companies. It also marks the celebration of one year of the formation of the seven new defence companies, carved out of the erstwhile Ordnance Factory Board.","India TV News Desk | October 19, 2022 11:00 IST"
"Breaking News, October 19 | LIVE UPDATES","IndiaTV News provides you all the breaking news, latest news, breaking story videos, Live TV on a single platform to ensure you don't miss the biggest happenings in India and the world.","India TV News Desk | October 20, 2022 0:15 IST"
"Cong president election: 'Have a fruitful tenure,' PM Modi congratulates Mallikarjun Kharge","Congress president election result 2022: Mallikarjun Kharge registered a massive win over Shashi Tharoor in the party presidential polls today. As per Congress sources, Kharge will take charge after Diwali in the presence of senior leaders at the Congress headquarters.","India TV News Desk | October 20, 2022 0:15 IST"
Kharge vs Tharoor: Congress to get first non-Gandhi president in 24 years today,"The counting of the votes cast on Monday will begin at 10 am on Wednesday at the AICC headquarters. All sealed ballot boxes from the 68 polling booths set up across the country have been brought here and kept in a ""strong room"" at the party office.","India TV News Desk | October 19, 2022 0:25 IST"
On track to get back to processing UK visa applications within standard of 15 days: British envoy,"The United Kingdom is on track to get back to processing India to UK visa applications within standard of 15 days, Alex Ellis, British High Commissioner to India has informed.","India TV News Desk | October 18, 2022 23:59 IST"
"Aryan Khan case: 'Selective treatment', 'irregularities' by NCB officers, finds vigilance report",Drugs-on-cruise case: The vigilance team in its report has recommended departmental action against these officers. The 3000-page report by the vigilance team was submitted to NCB three months ago.,"India TV News Desk | October 18, 2022 21:58 IST"
"Aaj Ki Baat: Full episode, October 18, 2022","Hello and welcome to Aaj Ki Baat With Rajat Sharma, the only news show with real facts and no noise.","India TV News Desk | October 18, 2022 23:49 IST"
NIA raids over 50 locations in north India in probe against terrorist-gangster nexus,"The raids were aimed to dismantle and disrupt the emerging nexus between terrorists, gangsters and drug smugglers/traffickers based in India and abroad, a National Investigation Agency (NIA) spokesperson said.","India TV News Desk | October 19, 2022 0:38 IST"
Diwali bonanza! THIS state raises dearness allowance for employees by 4%,"Earlier, the Uttar Pradesh government also raised the dearness allowance for its employees and pensioners.","India TV News Desk | October 18, 2022 23:06 IST"
"Uttar Pradesh: Faizabad Cantt is now Ayodhya Cantt, Gazette released",Defence Minister Rajnath Singh had approved renaming the Faizabad Cantt as Ayodhya Cantonment.,"India TV News Desk | October 18, 2022 19:59 IST"
"NCB seizes 7 kg of cocaine worth Rs 30 crore, 4 African nationals among five held","A probe revealed the drug was sourced from a hotel in the Masjid Bandar area of Mumbai and in an immediate follow-up action, two Ethiopian nationals, who had allegedly given the trolley bag to the woman, were apprehended on October 14, the official said.","India TV News Desk | October 18, 2022 23:07 IST"
